Country,Year,C1,C2,C3,E1,E2,E3,P1,P2,P3,S1,S2,X1,GDP_per_Capita,Life_Expectancy,Internet_Access,Infant_Mortality,FSI_Category
"Yemen, Rep.",2019,High,High,High,High,High,High,High,High,High,High,High,High,Medium,Low,Low,High,1_VeryHighAlert
Somalia,2019,High,High,High,High,High,High,High,High,High,High,High,High,Medium,Medium,Medium,Medium,1_VeryHighAlert
South Sudan,2019,High,High,High,High,High,Medium,High,High,High,High,High,High,Medium,Low,Low,High,1_VeryHighAlert
Syrian Arab Republic,2019,High,High,High,High,High,High,High,High,High,High,High,High,Low,Medium,Medium,Medium,1_VeryHighAlert
"Congo, Dem. Rep.",2019,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Central African Republic,2019,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Chad,2019,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Sudan,2019,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Medium,High,1_VeryHighAlert
Afghanistan,2019,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Zimbabwe,2019,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Guinea,2019,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Haiti,2019,High,High,Medium,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Iraq,2019,High,High,High,Medium,High,High,High,High,High,High,High,High,Medium,Medium,Low,High,1_VeryHighAlert
Nigeria,2019,High,High,High,High,High,High,High,High,High,High,High,Medium,Low,Low,Low,High,1_VeryHighAlert
Burundi,2019,High,High,High,High,High,Medium,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Cameroon,2019,High,High,High,Medium,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Eritrea,2019,Medium,High,High,High,High,High,High,High,High,High,High,High,Medium,Low,Low,High,1_VeryHighAlert
Niger,2019,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Guinea-Bissau,2019,High,High,Medium,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Uganda,2019,High,High,High,Medium,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Mali,2019,High,Medium,High,High,High,High,Medium,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Myanmar,2019,High,High,High,Medium,High,High,High,High,High,Medium,High,High,Low,Low,Low,High,1_VeryHighAlert
Pakistan,2019,High,High,High,Medium,Medium,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Ethiopia,2019,High,High,High,Medium,Medium,Medium,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Kenya,2019,High,High,High,Medium,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
"Korea, Dem. People's Rep.",2019,High,High,Medium,High,High,Medium,High,High,High,High,Medium,High,Medium,Medium,Medium,Medium,1_VeryHighAlert
"Congo, Rep.",2019,High,High,High,High,High,High,High,High,High,High,High,Medium,Low,Low,Low,High,1_VeryHighAlert
Libya,2019,High,High,High,High,Medium,Medium,High,Medium,High,Medium,High,High,Medium,Medium,Medium,Medium,1_VeryHighAlert
Cote d'Ivoire,2019,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Liberia,2019,High,High,Medium,High,High,High,Medium,High,Medium,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Mauritania,2019,Medium,High,High,High,Medium,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
"Venezuela, RB",2019,High,High,High,High,High,Medium,High,High,High,Medium,Medium,Medium,Low,Medium,Low,Medium,2_HighAlert
Mozambique,2019,High,Medium,Medium,High,High,High,High,High,Medium,High,Medium,High,Low,Low,Low,High,2_HighAlert
"Egypt, Arab Rep.",2019,High,High,High,High,Medium,Medium,High,Medium,High,Medium,High,High,Low,Medium,Low,Medium,2_HighAlert
Angola,2019,High,High,High,Medium,High,Medium,High,High,High,High,Medium,Medium,Low,Low,Low,High,2_HighAlert
Bangladesh,2019,High,High,High,Medium,Medium,High,High,High,High,High,High,Medium,Low,Medium,Low,High,2_HighAlert
Rwanda,2019,Medium,High,High,Medium,High,High,High,High,Medium,High,High,High,Low,Low,Low,High,2_HighAlert
Togo,2019,High,High,Medium,High,High,High,High,High,High,High,High,Medium,Low,Low,Low,High,2_HighAlert
Sierra Leone,2019,Medium,High,Medium,High,High,High,Medium,High,Medium,High,High,High,Low,Low,Low,High,2_HighAlert
Zambia,2019,Medium,Medium,Medium,High,High,High,High,High,High,High,Medium,High,Low,Low,Low,High,2_HighAlert
Timor-Leste,2019,Medium,High,Medium,High,High,High,Medium,High,Medium,High,Medium,High,Low,Low,Low,High,2_HighAlert
Eswatini,2019,Medium,High,Low,High,High,High,High,High,High,High,Medium,High,Medium,Low,Low,High,2_HighAlert
Djibouti,2019,Medium,High,Medium,High,High,Medium,High,High,High,High,High,High,Low,Low,Medium,High,2_HighAlert
Lebanon,2019,High,High,High,Medium,Medium,Medium,High,Medium,High,Medium,High,High,Medium,High,High,Medium,2_HighAlert
Nepal,2019,Medium,High,High,Medium,Medium,Medium,Medium,Medium,High,High,High,Medium,Low,Medium,Low,High,2_HighAlert
Sri Lanka,2019,High,High,High,Medium,Medium,High,High,Medium,High,Medium,High,Medium,Medium,High,Low,Low,2_HighAlert
Burkina Faso,2019,High,High,Medium,High,High,High,Medium,High,Medium,High,Medium,High,Low,Low,Low,High,2_HighAlert
"Gambia, The",2019,Medium,High,Low,High,Medium,High,High,High,High,High,Medium,Medium,Low,Low,Low,High,2_HighAlert
Malawi,2019,Medium,High,Medium,High,High,High,Medium,High,Medium,High,Medium,High,Low,Low,Low,High,2_HighAlert
Papua New Guinea,2019,High,High,Medium,Medium,High,High,Medium,High,High,High,Medium,Medium,Low,Low,Low,High,2_HighAlert
Philippines,2019,High,High,High,Medium,Medium,Medium,High,Medium,High,High,High,Medium,Low,Medium,Low,Medium,2_HighAlert
"Iran, Islamic Rep.",2019,High,High,High,High,Medium,Medium,High,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,2_HighAlert
Equatorial Guinea,2019,Medium,High,Medium,Medium,High,Medium,High,High,High,High,Medium,Medium,Medium,Low,Low,High,2_HighAlert
Cambodia,2019,Medium,High,Medium,Medium,Medium,High,High,High,High,Medium,Medium,High,Low,Medium,Low,Medium,2_HighAlert
Solomon Islands,2019,Medium,High,Medium,High,High,High,Medium,High,Medium,High,Medium,High,Low,Medium,Low,Medium,2_HighAlert
Comoros,2019,Medium,High,Medium,High,High,High,High,High,Medium,High,Medium,High,Low,Low,Low,High,2_HighAlert
Guatemala,2019,High,High,High,Medium,High,High,High,High,High,High,Medium,Medium,Medium,Medium,Low,Medium,2_HighAlert
Madagascar,2019,High,High,Medium,High,High,High,Medium,High,Medium,High,Medium,Medium,Low,Low,Low,High,2_HighAlert
Turkiye,2019,High,High,High,Medium,Medium,Medium,High,Medium,High,Medium,High,Medium,Medium,High,Medium,Medium,2_HighAlert
Tanzania,2019,Medium,Medium,Medium,Medium,High,High,Medium,High,Medium,High,Medium,High,Low,Low,Low,High,2_HighAlert
Lesotho,2019,Medium,High,Low,High,High,High,Medium,High,Medium,High,Medium,High,Low,Low,Low,High,3_Alert
Lao PDR,2019,Medium,High,High,Medium,Medium,High,High,Medium,High,High,Medium,Medium,Low,Low,Low,High,3_Alert
Nicaragua,2019,Medium,High,Medium,Medium,High,High,High,Medium,High,Medium,Medium,High,Low,Medium,Low,Medium,3_Alert
Honduras,2019,High,High,Medium,Medium,High,Medium,High,Medium,High,Medium,Medium,High,Low,Medium,Low,Medium,3_Alert
Tajikistan,2019,Medium,High,High,High,Medium,Medium,High,Medium,High,High,Medium,Medium,Low,Medium,Low,High,3_Alert
Senegal,2019,Medium,High,Medium,High,High,High,Medium,High,Medium,High,High,Medium,Low,Low,Low,High,3_Alert
West Bank and Gaza,2019,Medium,High,High,Medium,Medium,Medium,Medium,Medium,High,Medium,High,High,Medium,High,Medium,Medium,3_Alert
Kyrgyz Republic,2019,Medium,High,High,Medium,Medium,High,High,Medium,High,Medium,Medium,Medium,Low,Medium,Medium,Medium,3_Alert
Jordan,2019,Medium,High,High,High,Medium,Medium,Medium,Medium,High,Medium,High,High,Medium,High,Medium,Medium,3_Alert
Colombia,2019,High,High,High,Medium,High,Medium,Medium,Medium,High,Medium,High,Medium,Medium,High,Medium,Medium,3_Alert
Uzbekistan,2019,High,High,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Medium,Low,Medium,Medium,Medium,3_Alert
Algeria,2019,Medium,High,High,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,High,Low,Medium,3_Alert
Russian Federation,2019,High,High,High,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Medium,High,Medium,High,Low,3_Alert
India,2019,High,High,High,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,Low,High,3_Alert
Benin,2019,Medium,High,Low,Medium,High,High,Medium,High,Medium,High,Medium,Medium,Low,Low,Low,High,3_Alert
Azerbaijan,2019,Medium,High,Medium,Medium,Medium,Medium,High,Medium,High,Medium,High,Medium,Medium,Medium,High,Medium,3_Alert
Thailand,2019,High,High,High,Low,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,High,Medium,Medium,3_Alert
Morocco,2019,Medium,Medium,High,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,3_Alert
"Micronesia, Fed. Sts.",2019,Medium,Medium,Medium,High,High,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Low,Low,High,3_Alert
Bolivia,2019,Medium,High,Medium,Medium,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Medium,3_Alert
Georgia,2019,Medium,High,High,Medium,Medium,Medium,High,Medium,Medium,Low,High,High,Medium,Medium,Medium,Medium,3_Alert
Bhutan,2019,Medium,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,3_Alert
Brazil,2019,High,Medium,High,Medium,High,Medium,High,Medium,High,High,Low,Medium,Medium,High,Medium,Medium,3_Alert
Fiji,2019,High,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,High,Medium,Low,Medium,Medium,3_Alert
Turkmenistan,2019,Medium,High,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Low,Medium,Medium,Medium,Medium,High,3_Alert
Bosnia and Herzegovina,2019,Medium,High,High,Medium,Medium,Medium,Medium,Low,Medium,Medium,High,High,Medium,High,Medium,Low,3_Alert
Ecuador,2019,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,3_Alert
Sao Tome and Principe,2019,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,Medium,High,Low,Low,Low,Medium,3_Alert
China,2019,Medium,High,High,Medium,High,Medium,High,Medium,High,Medium,Medium,Low,High,High,Medium,Low,3_Alert
South Africa,2019,Medium,Medium,Medium,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Low,Medium,High,3_Alert
Ukraine,2019,High,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,3_Alert
Gabon,2019,Medium,High,Low,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Medium,Medium,Low,Medium,High,3_Alert
Saudi Arabia,2019,Medium,High,High,Medium,Medium,Medium,High,Low,High,Medium,Medium,Medium,High,High,High,Low,3_Alert
Indonesia,2019,Medium,High,High,Medium,Medium,High,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Low,Medium,3_Alert
Tunisia,2019,High,High,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,3_Alert
El Salvador,2019,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,Medium,4_HighWarning
Maldives,2019,Medium,High,Medium,Medium,Low,Medium,High,Medium,High,Medium,Medium,Medium,High,High,Medium,Low,4_HighWarning
Mexico,2019,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,4_HighWarning
Peru,2019,Medium,High,High,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Low,Medium,High,Medium,Medium,4_HighWarning
Guyana,2019,High,Medium,High,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,High,4_HighWarning
Belarus,2019,Medium,High,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Low,High,Medium,Medium,High,Low,4_HighWarning
Serbia,2019,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,High,Medium,Low,4_HighWarning
Moldova,2019,Medium,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,High,Medium,Medium,Medium,Medium,4_HighWarning
Paraguay,2019,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,4_HighWarning
Armenia,2019,Medium,High,Medium,Medium,Medium,Medium,High,Low,Medium,Low,Medium,Medium,Medium,High,Medium,Medium,4_HighWarning
Cabo Verde,2019,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,4_HighWarning
Namibia,2019,Medium,Medium,Medium,High,High,High,Low,High,Low,High,Medium,Medium,Medium,Low,Low,High,4_HighWarning
Dominican Republic,2019,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,High,High,4_HighWarning
Viet Nam,2019,Medium,High,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Medium,Low,Medium,Medium,Medium,4_HighWarning
Ghana,2019,Medium,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Medium,Medium,Low,Low,Low,High,4_HighWarning
North Macedonia,2019,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,High,Medium,Medium,High,High,Low,4_HighWarning
Samoa,2019,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,High,Medium,Medium,Medium,Medium,4_HighWarning
Bahrain,2019,Medium,High,High,Medium,Medium,Medium,High,Low,High,Medium,Low,Medium,High,High,High,Low,4_HighWarning
Belize,2019,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,High,Medium,Medium,Medium,Medium,4_HighWarning
Suriname,2019,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,4_HighWarning
Kazakhstan,2019,Medium,High,High,Medium,Medium,Medium,High,Medium,High,Medium,Low,Medium,Medium,Medium,High,Medium,4_HighWarning
Jamaica,2019,High,Medium,Low,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,4_HighWarning
Cuba,2019,Medium,High,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Low,4_HighWarning
Malaysia,2019,Medium,High,Medium,Low,Medium,Medium,High,Medium,High,Medium,Medium,Low,High,High,High,Low,4_HighWarning
Botswana,2019,Medium,Low,Medium,Medium,High,Medium,Low,Medium,Medium,High,Medium,Medium,Medium,Low,Low,High,5_Warning
Albania,2019,Medium,Medium,Medium,Medium,Low,High,Medium,Medium,Medium,Low,Low,High,Medium,High,Medium,Low,5_Warning
Cyprus,2019,Medium,High,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,Medium,High,High,High,High,Low,5_Warning
Grenada,2019,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,Medium,Low,High,High,Medium,Medium,Medium,5_Warning
Brunei Darussalam,2019,Medium,High,Medium,Medium,High,Medium,High,Low,High,Low,Low,Low,High,Medium,High,Medium,5_Warning
Montenegro,2019,Medium,Medium,High,Medium,Low,Medium,Medium,Low,Medium,Low,Medium,High,Medium,High,Medium,Low,5_Warning
Seychelles,2019,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Low,Medium,High,Medium,Medium,Medium,5_Warning
Antigua and Barbuda,2019,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,High,High,Medium,Low,5_Warning
Mongolia,2019,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,High,Medium,Medium,Low,Medium,5_Warning
Greece,2019,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Low,Medium,Medium,Medium,High,High,Medium,Low,5_Warning
Kuwait,2019,Medium,High,Medium,Low,Medium,Medium,High,Low,High,Medium,Low,Medium,High,High,High,Low,5_Warning
Trinidad and Tobago,2019,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,Low,High,Medium,Medium,Medium,5_Warning
Bulgaria,2019,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,High,Medium,Medium,Low,5_Warning
Oman,2019,Medium,Medium,Low,Medium,Medium,Low,High,Low,High,Medium,Low,Low,High,High,High,Medium,5_Warning
Hungary,2019,Low,Medium,Medium,Medium,Low,Medium,Medium,Low,Medium,Low,Medium,Medium,High,High,High,Low,6_Stable
"Bahamas, The",2019,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Low,Medium,High,Medium,High,Medium,6_Stable
Barbados,2019,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,Low,Medium,High,High,Medium,Medium,6_Stable
Romania,2019,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Medium,High,High,Medium,Low,6_Stable
Croatia,2019,Low,Medium,Medium,Medium,Low,Medium,Low,Low,Low,Low,Medium,Medium,High,High,Medium,Low,6_Stable
Panama,2019,Medium,Low,Medium,Low,Medium,Medium,Low,Medium,Medium,Medium,Low,Low,High,High,Medium,Medium,6_Stable
Argentina,2019,Medium,Low,Medium,Medium,Medium,Low,Medium,Low,Medium,Low,Low,Medium,Medium,High,High,Medium,6_Stable
Qatar,2019,Low,Medium,Medium,Low,Medium,Low,Medium,Low,Medium,Low,Low,High,High,High,High,Low,6_Stable
Latvia,2019,Low,Medium,High,Medium,Medium,Medium,Low,Low,Low,Low,Low,Low,High,Medium,High,Low,6_Stable
Italy,2019,Medium,Medium,Medium,Medium,Low,Low,Medium,Low,Low,Medium,Medium,Low,High,High,Medium,Low,6_Stable
Poland,2019,Low,Medium,Medium,Medium,Low,Medium,Medium,Low,Medium,Low,Low,Medium,High,High,High,Low,6_Stable
Costa Rica,2019,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Low,Low,Medium,Medium,High,High,High,Low,6_Stable
Estonia,2019,Low,Medium,High,Low,Low,Medium,Low,Low,Low,Low,Low,Medium,High,High,High,Low,6_Stable
Spain,2019,Medium,High,Medium,Medium,Low,Low,High,Low,Low,Low,Low,Low,High,High,High,Low,6_Stable
Slovak Republic,2019,Low,Medium,Medium,Medium,Low,Medium,Medium,Low,Low,Low,Low,Low,High,High,High,Low,6_Stable
United Arab Emirates,2019,Low,Medium,Low,Low,Low,Low,Medium,Low,High,Medium,Low,Low,High,High,High,Low,6_Stable
Mauritius,2019,Low,Low,Medium,Medium,Low,Medium,Low,Low,Medium,Low,Low,Medium,High,Medium,Medium,Medium,7_MoreStable
Chile,2019,Medium,Low,Low,Medium,Medium,Medium,Low,Medium,Low,Medium,Low,Low,High,High,High,Low,7_MoreStable
Lithuania,2019,Low,Low,Medium,Medium,Medium,Medium,Low,Low,Low,Low,Low,Medium,High,High,High,Low,7_MoreStable
United States,2019,Medium,Medium,Medium,Low,Medium,Low,Low,Low,Medium,Low,Low,Low,High,High,High,Low,7_MoreStable
Czechia,2019,Low,Medium,Medium,Medium,Low,Low,Medium,Low,Low,Low,Low,Low,High,High,High,Low,7_MoreStable
United Kingdom,2019,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,7_MoreStable
Malta,2019,Low,Low,Low,Medium,Low,Medium,Low,Low,Low,Low,Medium,Low,High,High,High,Low,7_MoreStable
Japan,2019,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Medium,Medium,Low,High,High,High,Low,7_MoreStable
Uruguay,2019,Medium,Low,Low,Medium,Low,Medium,Low,Low,Low,Low,Low,Low,High,High,High,Low,7_MoreStable
"Korea, Rep.",2019,Low,Medium,Low,Low,Low,Medium,Medium,Low,Low,Low,Low,Medium,High,High,High,Low,7_MoreStable
France,2019,Medium,Low,High,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,7_MoreStable
Belgium,2019,Low,Medium,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,8_Sustainable
Singapore,2019,Low,Medium,Low,Low,Low,Low,Medium,Low,Medium,Low,Low,Low,High,High,High,Low,8_Sustainable
Slovenia,2019,Low,Low,Medium,Low,Low,Medium,Low,Low,Low,Low,Medium,Low,High,High,High,Low,8_Sustainable
Portugal,2019,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,High,High,Medium,Low,8_Sustainable
Austria,2019,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Medium,Low,High,High,High,Low,8_Sustainable
Netherlands,2019,Low,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,8_Sustainable
Germany,2019,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Medium,Low,High,High,High,Low,8_Sustainable
Ireland,2019,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,8_Sustainable
Luxembourg,2019,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,8_Sustainable
Sweden,2019,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Low,High,High,High,Low,8_Sustainable
New Zealand,2019,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,8_Sustainable
Canada,2019,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,8_Sustainable
Iceland,2019,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,High,High,Low,9_VerySustainable
Australia,2019,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,9_VerySustainable
Denmark,2019,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,9_VerySustainable
Switzerland,2019,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,9_VerySustainable
Norway,2019,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,9_VerySustainable
Finland,2019,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,9_VerySustainable
