Country,Year,C1,C2,C3,E1,E2,E3,P1,P2,P3,S1,S2,X1,GDP_per_Capita,Life_Expectancy,Internet_Access,Infant_Mortality,FSI_Category
"Yemen, Rep.",2020,High,High,High,High,High,High,High,High,High,High,High,High,Medium,Low,Medium,High,1_VeryHighAlert
Somalia,2020,High,High,High,High,High,High,High,High,High,High,High,High,Medium,Medium,Medium,Medium,1_VeryHighAlert
South Sudan,2020,High,High,High,High,High,High,High,High,High,High,High,High,Medium,Low,Medium,High,1_VeryHighAlert
Syrian Arab Republic,2020,High,High,High,High,High,High,High,High,High,High,High,High,Low,Medium,Medium,Medium,1_VeryHighAlert
"Congo, Dem. Rep.",2020,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Central African Republic,2020,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Medium,High,1_VeryHighAlert
Chad,2020,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Sudan,2020,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Medium,High,1_VeryHighAlert
Afghanistan,2020,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Zimbabwe,2020,High,High,Medium,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Burundi,2020,High,High,High,High,High,Medium,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Cameroon,2020,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Haiti,2020,High,High,Medium,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Nigeria,2020,High,High,High,High,High,Medium,High,High,High,High,High,Medium,Low,Low,Low,High,1_VeryHighAlert
Guinea,2020,High,High,High,High,High,High,High,High,High,High,High,Medium,Low,Low,Low,High,1_VeryHighAlert
Mali,2020,High,Medium,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Iraq,2020,High,High,High,Medium,Medium,High,High,High,High,High,High,High,Medium,Medium,Low,Medium,1_VeryHighAlert
Eritrea,2020,Medium,High,High,High,High,High,High,High,High,High,High,High,Medium,Low,Low,High,1_VeryHighAlert
Niger,2020,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Libya,2020,High,High,High,High,Medium,Medium,High,High,High,Medium,High,High,Medium,Medium,Medium,Medium,1_VeryHighAlert
Ethiopia,2020,High,High,High,Medium,Medium,Medium,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Myanmar,2020,High,High,High,Medium,High,High,High,High,High,Medium,High,High,Low,Low,Low,High,1_VeryHighAlert
Guinea-Bissau,2020,High,High,Medium,High,High,High,High,High,High,High,Medium,High,Low,Low,Low,High,1_VeryHighAlert
Uganda,2020,High,High,High,Medium,High,High,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Pakistan,2020,High,High,High,High,Medium,Medium,High,High,High,High,High,High,Low,Low,Low,High,1_VeryHighAlert
"Congo, Rep.",2020,High,High,High,High,High,High,High,High,High,High,High,Medium,Low,Low,Low,High,1_VeryHighAlert
Mozambique,2020,High,High,Medium,High,High,High,High,High,Medium,High,High,High,Low,Low,Low,High,1_VeryHighAlert
"Venezuela, RB",2020,High,High,High,High,Medium,Medium,High,High,High,Medium,Medium,Medium,Low,Medium,Medium,Medium,1_VeryHighAlert
Kenya,2020,High,High,High,Medium,High,High,High,High,Medium,High,High,High,Low,Low,Low,High,1_VeryHighAlert
"Korea, Dem. People's Rep.",2020,High,High,Medium,High,High,Medium,High,High,High,High,Medium,High,Medium,Medium,Medium,Medium,1_VeryHighAlert
Liberia,2020,High,High,Medium,High,High,High,High,High,Medium,High,High,High,Low,Low,Low,High,1_VeryHighAlert
Cote d'Ivoire,2020,High,High,High,Medium,High,High,High,High,High,High,High,High,Low,Low,Low,High,2_HighAlert
Mauritania,2020,Medium,High,High,High,Medium,Medium,High,High,High,High,High,High,Low,Low,Low,High,2_HighAlert
Angola,2020,High,High,High,High,High,Medium,High,High,Medium,High,Medium,Medium,Low,Low,Low,High,2_HighAlert
Rwanda,2020,Medium,High,High,Medium,High,High,High,Medium,Medium,High,High,Medium,Low,Low,Low,High,2_HighAlert
"Egypt, Arab Rep.",2020,High,High,High,High,Medium,Medium,High,Medium,High,Medium,Medium,High,Medium,Medium,Medium,Medium,2_HighAlert
Burkina Faso,2020,High,High,Medium,High,High,High,Medium,High,Medium,High,High,High,Low,Low,Low,High,2_HighAlert
Togo,2020,High,High,Medium,High,High,High,High,High,High,High,Medium,Medium,Low,Low,Low,High,2_HighAlert
Bangladesh,2020,High,High,High,Medium,Medium,High,High,High,High,High,High,Medium,Low,Medium,Low,High,2_HighAlert
Lebanon,2020,High,High,High,High,Medium,Medium,High,Medium,High,Medium,High,High,Medium,High,High,Medium,2_HighAlert
Zambia,2020,Medium,Medium,Medium,High,High,High,High,High,High,High,Medium,High,Low,Low,Low,High,2_HighAlert
Sierra Leone,2020,Medium,High,Medium,High,High,High,Medium,High,Medium,High,High,High,Low,Low,Low,High,2_HighAlert
Malawi,2020,Medium,High,Medium,High,High,High,Medium,High,Medium,High,Medium,High,Low,Low,Low,High,2_HighAlert
"Iran, Islamic Rep.",2020,High,High,High,High,Medium,Medium,High,Medium,High,Medium,Medium,High,Low,Medium,Medium,Medium,2_HighAlert
Equatorial Guinea,2020,Medium,High,Medium,Medium,High,Medium,High,High,High,High,Medium,Medium,Medium,Low,Low,High,2_HighAlert
Eswatini,2020,Medium,High,Low,High,High,High,High,High,High,High,Medium,High,Low,Low,Low,High,2_HighAlert
Djibouti,2020,Medium,High,Medium,High,High,Medium,High,High,High,High,High,High,Low,Low,Medium,High,2_HighAlert
Timor-Leste,2020,Medium,High,Medium,High,Medium,High,Medium,High,Medium,High,Medium,High,Low,Low,Low,High,2_HighAlert
Nepal,2020,Medium,High,High,Medium,Medium,Medium,Medium,Medium,High,High,High,Medium,Low,Medium,Low,High,2_HighAlert
Papua New Guinea,2020,High,High,Medium,High,High,High,Medium,High,High,High,Medium,Medium,Low,Low,Low,High,2_HighAlert
"Gambia, The",2020,Medium,High,Low,High,Medium,High,High,High,High,High,Medium,Medium,Low,Low,Low,High,2_HighAlert
Sri Lanka,2020,High,High,High,Medium,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,High,Low,Low,2_HighAlert
Comoros,2020,Medium,High,Medium,High,High,Medium,High,High,Medium,High,Medium,High,Low,Low,Low,High,2_HighAlert
Philippines,2020,High,High,High,Medium,Medium,Medium,High,Medium,High,High,Medium,Medium,Low,Medium,Low,Medium,2_HighAlert
Cambodia,2020,High,High,Medium,Medium,Medium,High,High,High,High,Medium,Medium,High,Low,Medium,Low,Medium,2_HighAlert
Solomon Islands,2020,Medium,High,Medium,High,High,Medium,Medium,High,Medium,High,Medium,High,Low,Medium,Low,Medium,3_Alert
Madagascar,2020,Medium,High,Low,High,High,Medium,Medium,High,Medium,High,Medium,Medium,Low,Low,Low,High,3_Alert
Guatemala,2020,High,High,High,Medium,High,High,Medium,High,High,High,Medium,Medium,Medium,Medium,Low,Medium,3_Alert
Turkiye,2020,High,High,High,Medium,Medium,Medium,High,Medium,High,Medium,High,Medium,Medium,High,Medium,Medium,3_Alert
Lesotho,2020,High,High,Low,High,High,High,Medium,High,Medium,High,Medium,High,Low,Low,Low,High,3_Alert
Tanzania,2020,Medium,Medium,Medium,Medium,High,High,Medium,High,Medium,High,Medium,High,Low,Low,Low,High,3_Alert
Nicaragua,2020,Medium,High,Medium,Medium,High,High,High,Medium,High,Medium,Medium,High,Low,Medium,Low,Medium,3_Alert
Lao PDR,2020,Medium,High,High,Medium,Medium,High,High,Medium,High,Medium,Medium,Medium,Low,Low,Low,High,3_Alert
Honduras,2020,High,High,Medium,Medium,High,Medium,High,Medium,High,Medium,Medium,High,Low,Medium,Low,Medium,3_Alert
Colombia,2020,High,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,3_Alert
Tajikistan,2020,Medium,High,Medium,Medium,Medium,Medium,High,Medium,High,High,Medium,Medium,Low,Low,Low,High,3_Alert
Jordan,2020,Medium,High,High,Medium,Medium,Medium,Medium,Medium,High,Medium,High,High,Medium,Medium,Medium,Medium,3_Alert
India,2020,High,High,High,Medium,Medium,Medium,Medium,Medium,High,High,Medium,Medium,Low,Medium,Low,High,3_Alert
West Bank and Gaza,2020,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High,Low,Medium,Medium,Medium,3_Alert
Bolivia,2020,Medium,High,Medium,Medium,High,Medium,High,Medium,Medium,Medium,Low,Medium,Medium,Low,Medium,Medium,3_Alert
Algeria,2020,Medium,High,High,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,3_Alert
Senegal,2020,Medium,High,Medium,High,High,High,Medium,High,Medium,High,Medium,Medium,Low,Low,Low,High,3_Alert
Kyrgyz Republic,2020,Medium,High,High,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,3_Alert
Uzbekistan,2020,Medium,High,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Medium,Low,Medium,Medium,Medium,3_Alert
Brazil,2020,High,Medium,High,Medium,High,Medium,High,High,High,High,Medium,Medium,Medium,Medium,High,Medium,3_Alert
Russian Federation,2020,High,High,High,Medium,Medium,Medium,High,Low,High,Medium,Medium,Medium,High,Medium,High,Low,3_Alert
Benin,2020,Medium,High,Low,Medium,High,High,Medium,High,Medium,High,Medium,Medium,Low,Low,Low,High,3_Alert
Azerbaijan,2020,Medium,High,Medium,Medium,Medium,Medium,High,Medium,High,Medium,High,Medium,Medium,Medium,High,Medium,3_Alert
"Micronesia, Fed. Sts.",2020,Medium,Medium,Medium,High,High,High,Medium,Medium,Medium,Medium,Medium,High,Low,Low,Low,Medium,3_Alert
Morocco,2020,Medium,Medium,High,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Low,Medium,High,Medium,3_Alert
Georgia,2020,Medium,High,High,Medium,Medium,Medium,High,Medium,Medium,Low,Medium,High,Medium,Medium,Medium,Low,3_Alert
Thailand,2020,High,High,High,Low,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,High,Medium,Medium,3_Alert
Sao Tome and Principe,2020,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Low,Medium,Medium,High,Low,Low,Low,Medium,3_Alert
Bosnia and Herzegovina,2020,Medium,High,High,Medium,Medium,Medium,Medium,Low,Medium,Low,High,High,Medium,High,Medium,Low,3_Alert
South Africa,2020,High,Medium,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,High,3_Alert
China,2020,Medium,High,High,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Low,High,High,Medium,Low,4_HighWarning
Fiji,2020,High,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,High,Medium,Low,Medium,Medium,4_HighWarning
Bhutan,2020,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,Low,Medium,Medium,Medium,4_HighWarning
Ecuador,2020,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,4_HighWarning
Gabon,2020,Medium,High,Low,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Medium,Medium,Low,Medium,High,4_HighWarning
Turkmenistan,2020,Medium,High,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Low,Low,Medium,Low,Medium,High,4_HighWarning
Ukraine,2020,High,High,Medium,Medium,Low,Medium,High,Medium,Medium,Low,Medium,High,Medium,Medium,Medium,Medium,4_HighWarning
El Salvador,2020,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,Medium,4_HighWarning
Saudi Arabia,2020,Medium,High,High,Medium,Medium,Medium,High,Low,High,Medium,Medium,Medium,High,High,High,Low,4_HighWarning
Tunisia,2020,High,High,High,High,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,4_HighWarning
Indonesia,2020,Medium,High,High,Medium,Medium,Medium,Medium,Medium,High,High,Medium,Medium,Medium,Low,Low,Medium,4_HighWarning
Peru,2020,Medium,High,High,Low,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,4_HighWarning
Mexico,2020,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,4_HighWarning
Maldives,2020,Medium,High,Medium,Medium,Low,Medium,High,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Low,4_HighWarning
Serbia,2020,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High,Medium,Medium,Medium,Low,4_HighWarning
Moldova,2020,Medium,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,4_HighWarning
Guyana,2020,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,Medium,Medium,High,Medium,Low,Medium,High,4_HighWarning
Belarus,2020,Medium,High,Medium,Medium,Medium,Medium,High,Low,High,Medium,Low,High,Medium,Medium,High,Low,4_HighWarning
Paraguay,2020,Medium,High,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,4_HighWarning
Namibia,2020,Medium,Medium,Medium,High,High,Medium,Low,High,Low,High,Medium,Medium,Medium,Low,Medium,High,4_HighWarning
Cabo Verde,2020,Medium,Medium,Low,Medium,Medium,High,Medium,Medium,Low,Medium,Medium,High,Medium,Medium,Medium,Medium,4_HighWarning
Dominican Republic,2020,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,High,High,4_HighWarning
Armenia,2020,Medium,High,Medium,Medium,Medium,Medium,Medium,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,4_HighWarning
Ghana,2020,Medium,Medium,Medium,Medium,Medium,High,Low,High,Medium,High,Medium,Medium,Low,Low,Medium,High,4_HighWarning
Bahrain,2020,Medium,High,High,Medium,Medium,Low,High,Low,High,Medium,Low,Medium,High,High,High,Low,4_HighWarning
Viet Nam,2020,Medium,High,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,4_HighWarning
Samoa,2020,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,High,Medium,Medium,Medium,Medium,4_HighWarning
North Macedonia,2020,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,High,Medium,Medium,Medium,High,Low,4_HighWarning
Belize,2020,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,High,Medium,Medium,Medium,Medium,4_HighWarning
Suriname,2020,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,4_HighWarning
Jamaica,2020,High,Medium,Low,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,4_HighWarning
Kazakhstan,2020,Medium,High,High,Medium,Low,Medium,High,Low,Medium,Medium,Low,Low,Medium,Medium,High,Low,5_Warning
Cuba,2020,Medium,High,Low,Medium,Medium,Medium,High,Medium,Medium,Medium,Low,Medium,Medium,High,Medium,Low,5_Warning
Albania,2020,Medium,Medium,Medium,Medium,Low,High,Medium,Medium,Medium,Medium,Low,Medium,Medium,High,Medium,Medium,5_Warning
Malaysia,2020,Medium,High,Medium,Low,Medium,Medium,Medium,Low,High,Medium,Low,Low,Medium,High,High,Low,5_Warning
Botswana,2020,Medium,Low,Medium,Medium,High,Medium,Low,High,Medium,High,Medium,Low,Medium,Low,Low,High,5_Warning
Brunei Darussalam,2020,Medium,High,Medium,Medium,High,Medium,High,Low,High,Low,Low,Low,High,Medium,High,Medium,5_Warning
Cyprus,2020,Medium,High,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,Medium,High,High,High,High,Low,5_Warning
Montenegro,2020,Medium,Medium,High,Medium,Low,Medium,Medium,Medium,Medium,Low,Medium,High,Medium,High,Medium,Low,5_Warning
Grenada,2020,Medium,Medium,Medium,Medium,Medium,High,Medium,Low,Low,Medium,Low,High,Medium,Medium,Medium,Medium,5_Warning
Seychelles,2020,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Low,High,High,High,High,Medium,5_Warning
Greece,2020,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Low,Medium,Medium,Medium,High,High,Medium,Low,5_Warning
Antigua and Barbuda,2020,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,High,High,Medium,Low,5_Warning
Trinidad and Tobago,2020,Medium,Medium,Low,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,Medium,High,Medium,Medium,Medium,5_Warning
Mongolia,2020,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,High,Medium,Medium,Medium,Medium,5_Warning
Kuwait,2020,Low,High,Medium,Low,Medium,Low,High,Low,High,Medium,Low,Medium,High,High,High,Low,5_Warning
"Bahamas, The",2020,Medium,Medium,Low,Medium,Medium,Medium,Low,Medium,Medium,High,Low,Medium,High,Medium,High,Medium,6_Stable
Bulgaria,2020,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,High,Medium,Medium,Low,6_Stable
Oman,2020,Low,Medium,Low,Medium,Medium,Low,High,Low,High,Medium,Low,Low,High,High,High,Medium,6_Stable
Hungary,2020,Low,Medium,Medium,Medium,Low,Medium,Medium,Low,Medium,Low,Medium,Medium,High,Medium,High,Low,6_Stable
Romania,2020,Low,Medium,Medium,Medium,Low,Medium,Medium,Low,Low,Low,Low,Medium,High,Medium,Medium,Low,6_Stable
Barbados,2020,Medium,Medium,Low,Medium,Medium,Medium,Low,Low,Medium,Medium,Low,Medium,High,High,Medium,Medium,6_Stable
Croatia,2020,Low,Medium,Medium,Medium,Low,Medium,Low,Low,Low,Low,Medium,Medium,High,High,Medium,Low,6_Stable
Argentina,2020,Medium,Low,Medium,Medium,Medium,Low,Medium,Medium,Medium,Low,Low,Medium,Medium,High,High,Medium,6_Stable
Panama,2020,Medium,Low,Medium,Low,Medium,Medium,Low,Medium,Medium,Medium,Low,Low,High,High,Medium,Medium,6_Stable
Qatar,2020,Low,Medium,Medium,Low,Medium,Low,Medium,Low,Medium,Low,Low,High,High,High,High,Low,6_Stable
Chile,2020,Medium,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,High,High,High,Low,6_Stable
Italy,2020,Medium,Medium,Medium,Medium,Low,Low,Low,Low,Low,Low,Medium,Low,High,High,Medium,Low,6_Stable
Latvia,2020,Low,Medium,High,Low,Low,Medium,Low,Low,Low,Low,Low,Low,High,Medium,High,Low,6_Stable
Poland,2020,Low,Medium,Medium,Medium,Low,Medium,Medium,Low,Medium,Low,Low,Low,High,High,High,Low,6_Stable
Spain,2020,Medium,High,Medium,Medium,Low,Low,High,Low,Low,Low,Low,Low,High,High,High,Low,6_Stable
Costa Rica,2020,Medium,Medium,Low,Medium,Medium,Medium,Low,Low,Low,Low,Medium,Medium,High,High,High,Medium,6_Stable
Estonia,2020,Low,Medium,High,Low,Low,Medium,Low,Low,Low,Low,Low,Medium,High,High,High,Low,7_MoreStable
United States,2020,Medium,High,Medium,Low,Medium,Low,Low,Low,Medium,Low,Low,Low,High,High,High,Low,7_MoreStable
United Kingdom,2020,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,7_MoreStable
Slovak Republic,2020,Low,Medium,Medium,Medium,Low,Medium,Medium,Low,Low,Low,Low,Low,High,High,High,Low,7_MoreStable
United Arab Emirates,2020,Low,Medium,Low,Low,Low,Low,Medium,Low,High,Low,Low,Low,High,High,High,Low,7_MoreStable
Mauritius,2020,Low,Low,Medium,Medium,Low,Medium,Low,Low,Medium,Low,Low,Medium,Medium,Medium,Medium,Medium,7_MoreStable
Lithuania,2020,Low,Low,Medium,Medium,Medium,Medium,Low,Low,Low,Low,Low,Medium,High,Medium,High,Low,7_MoreStable
Czechia,2020,Low,Medium,Medium,Medium,Low,Low,Medium,Low,Low,Low,Low,Low,High,High,High,Low,7_MoreStable
Malta,2020,Low,Low,Low,Medium,Low,Medium,Medium,Low,Low,Low,Medium,Low,High,High,High,Low,7_MoreStable
Uruguay,2020,Medium,Low,Low,Medium,Low,Medium,Low,Low,Low,Low,Low,Low,High,High,High,Low,7_MoreStable
Japan,2020,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Medium,Low,High,High,High,Low,7_MoreStable
"Korea, Rep.",2020,Low,Medium,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Medium,High,High,High,Low,7_MoreStable
France,2020,Medium,Low,High,Medium,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,7_MoreStable
Belgium,2020,Low,Medium,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,8_Sustainable
Singapore,2020,Low,Medium,Low,Low,Low,Low,Medium,Low,Medium,Low,Low,Low,High,High,High,Low,8_Sustainable
Slovenia,2020,Low,Low,Medium,Low,Low,Medium,Low,Low,Low,Low,Low,Low,High,High,High,Low,8_Sustainable
Austria,2020,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Medium,Low,High,High,High,Low,8_Sustainable
Portugal,2020,Low,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,High,High,Medium,Low,8_Sustainable
Germany,2020,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Medium,Low,High,High,High,Low,8_Sustainable
Netherlands,2020,Low,Medium,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,8_Sustainable
Ireland,2020,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,9_VerySustainable
Australia,2020,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,9_VerySustainable
Luxembourg,2020,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,9_VerySustainable
Canada,2020,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,9_VerySustainable
Sweden,2020,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,Low,High,High,High,Low,9_VerySustainable
New Zealand,2020,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,9_VerySustainable
Iceland,2020,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Medium,High,High,High,Low,9_VerySustainable
Denmark,2020,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,9_VerySustainable
Switzerland,2020,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,9_VerySustainable
Norway,2020,Low,Low,Medium,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,9_VerySustainable
Finland,2020,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,High,High,High,Low,9_VerySustainable
